# kapture format: 1.0
# timestamp, device_id, image_path
223, training_camera_0, training/gallery_light1_loop1/frames/rgb/camera_0/rgb_00223.jpg
223, training_camera_1, training/gallery_light1_loop1/frames/rgb/camera_1/rgb_00223.jpg
224, training_camera_0, training/gallery_light1_loop1/frames/rgb/camera_0/rgb_00224.jpg
224, training_camera_1, training/gallery_light1_loop1/frames/rgb/camera_1/rgb_00224.jpg
225, training_camera_0, training/gallery_light1_loop1/frames/rgb/camera_0/rgb_00225.jpg
225, training_camera_1, training/gallery_light1_loop1/frames/rgb/camera_1/rgb_00225.jpg
226, training_camera_0, training/gallery_light1_loop1/frames/rgb/camera_0/rgb_00226.jpg
226, training_camera_1, training/gallery_light1_loop1/frames/rgb/camera_1/rgb_00226.jpg
227, training_camera_0, training/gallery_light1_loop1/frames/rgb/camera_0/rgb_00227.jpg
227, training_camera_1, training/gallery_light1_loop1/frames/rgb/camera_1/rgb_00227.jpg
228, training_camera_0, training/gallery_light1_loop1/frames/rgb/camera_0/rgb_00228.jpg
228, training_camera_1, training/gallery_light1_loop1/frames/rgb/camera_1/rgb_00228.jpg
