# kapture format: 1.1
# timestamp, device_id, image_path
0, training_camera_0, training/gallery_light1_loop1/frames/rgb/camera_0/rgb_00000.jpg
0, training_camera_1, training/gallery_light1_loop1/frames/rgb/camera_1/rgb_00000.jpg
0, training_camera_2, training/gallery_light1_loop1/frames/rgb/camera_2/rgb_00000.jpg
0, training_camera_3, training/gallery_light1_loop1/frames/rgb/camera_3/rgb_00000.jpg
0, training_camera_4, training/gallery_light1_loop1/frames/rgb/camera_4/rgb_00000.jpg
0, training_camera_5, training/gallery_light1_loop1/frames/rgb/camera_5/rgb_00000.jpg
1, training_camera_0, training/gallery_light1_loop1/frames/rgb/camera_0/rgb_00001.jpg
1, training_camera_1, training/gallery_light1_loop1/frames/rgb/camera_1/rgb_00001.jpg
1, training_camera_2, training/gallery_light1_loop1/frames/rgb/camera_2/rgb_00001.jpg
1, training_camera_3, training/gallery_light1_loop1/frames/rgb/camera_3/rgb_00001.jpg
1, training_camera_4, training/gallery_light1_loop1/frames/rgb/camera_4/rgb_00001.jpg
1, training_camera_5, training/gallery_light1_loop1/frames/rgb/camera_5/rgb_00001.jpg
2, training_camera_0, training/gallery_light1_loop1/frames/rgb/camera_0/rgb_00002.jpg
2, training_camera_1, training/gallery_light1_loop1/frames/rgb/camera_1/rgb_00002.jpg
2, training_camera_2, training/gallery_light1_loop1/frames/rgb/camera_2/rgb_00002.jpg
2, training_camera_3, training/gallery_light1_loop1/frames/rgb/camera_3/rgb_00002.jpg
2, training_camera_4, training/gallery_light1_loop1/frames/rgb/camera_4/rgb_00002.jpg
2, training_camera_5, training/gallery_light1_loop1/frames/rgb/camera_5/rgb_00002.jpg
3, training_camera_0, training/gallery_light1_loop1/frames/rgb/camera_0/rgb_00003.jpg
3, training_camera_1, training/gallery_light1_loop1/frames/rgb/camera_1/rgb_00003.jpg
3, training_camera_2, training/gallery_light1_loop1/frames/rgb/camera_2/rgb_00003.jpg
3, training_camera_3, training/gallery_light1_loop1/frames/rgb/camera_3/rgb_00003.jpg
3, training_camera_4, training/gallery_light1_loop1/frames/rgb/camera_4/rgb_00003.jpg
3, training_camera_5, training/gallery_light1_loop1/frames/rgb/camera_5/rgb_00003.jpg
4, training_camera_0, training/gallery_light4_loop1/frames/rgb/camera_0/rgb_00000.jpg
4, training_camera_1, training/gallery_light4_loop1/frames/rgb/camera_1/rgb_00000.jpg
4, training_camera_2, training/gallery_light4_loop1/frames/rgb/camera_2/rgb_00000.jpg
