# kapture format: 1.1
# timestamp, device_id, image_path
1555399760151000, AC01324954, AC01324954/AC01324954_1555399760151000.jpg
1555399760178000, AC01324969, AC01324969/AC01324969_1555399760178000.jpg
1555399760214000, AC01324955, AC01324955/AC01324955_1555399760214000.jpg
1555399760779869, 22970285, 22970285/1555399760779869.jpg
1555399760779869, 22970286, 22970286/1555399760779869.jpg
1555399760779869, 22970288, 22970288/1555399760779869.jpg
1555399760779869, 22970289, 22970289/1555399760779869.jpg
1555399760779869, 22970290, 22970290/1555399760779869.jpg
1555399760779869, 22970291, 22970291/1555399760779869.jpg
1555399761151000, AC01324969, AC01324969/AC01324969_1555399761151000.jpg
1555399761168000, AC01324954, AC01324954/AC01324954_1555399761168000.jpg
1555399761216000, AC01324955, AC01324955/AC01324955_1555399761216000.jpg
1555399761779869, 22970285, 22970285/1555399761779869.jpg
1555399761779869, 22970286, 22970286/1555399761779869.jpg
1555399761779869, 22970288, 22970288/1555399761779869.jpg
1555399761779869, 22970289, 22970289/1555399761779869.jpg
1555399761779869, 22970290, 22970290/1555399761779869.jpg
1555399761779869, 22970291, 22970291/1555399761779869.jpg
