# kapture format: 1.0
# timestamp, device_id, qw, qx, qy, qz, tx, ty, tz
       0, kinect, 0.9665401515509139, 0.18685280880272245, -0.13466004384707828, -0.11292845466742372, 1.4652781541217295, 0.031529801989331294, 0.5687254320518813
       1, kinect, 0.966589056988121, 0.18692042310929569, -0.13435986392887625, -0.112755387013086, 1.465352943503805, 0.031223161486779567, 0.5677286745629248
       2, kinect, 0.9665479815074712, 0.1866596463227193, -0.13474506360171426, -0.11307936908861649, 1.4648883477408017, 0.030407372899030036, 0.5685876082871394
       3, kinect, -0.929722647952211, -0.24675440440192828, -0.2324044325538157, -0.14393137782400894, -0.00503863730971317, 0.6972231699126821, 0.5502656723624622
       4, kinect, -0.9299781651923248, -0.24612075890444146, -0.23247393881782705, -0.14325170879380242, -0.00445938636986018, 0.6967736594207402, 0.5495799502873664
       5, kinect, -0.9300682818431877, -0.24434061910913493, -0.23376359069878538, -0.14361488998789695, -0.0029788397767846753, 0.6948216768064877, 0.5466544773505927
       6, kinect, 0.8454101904205982, 0.14042684121910626, -0.5101242452865968, -0.07304222456231388, 0.637885451734051, 0.2764969724630028, 1.3788228369326045
       7, kinect, 0.8464850669547357, 0.1395747728334413, -0.5086302857596852, -0.07264397166421441, 0.6390948125677486, 0.28334283857770964, 1.3743889934565845
       8, kinect, 0.8469202099464846, 0.13782218835125556, -0.508242094650086, -0.0736286330714257, 0.6429707120287937, 0.2826288847547213, 1.3735988190539055
       9, kinect, 0.9833032086126107, 0.16421218281030833, -0.07817161772801995, -0.006193313378389884, 0.16702271321450438, 0.8966617346044327, 0.6261051906923423
      10, kinect, 0.9826613404792284, 0.15963155844980417, -0.09402265463209025, -0.007361785815102026, 0.1783137454036497, 0.9077624293557869, 0.594136982541556
      11, kinect, 0.9819594937668996, 0.16150279202235507, -0.09798730038225445, -0.008419604137724896, 0.18573392903106967, 0.9158538383701756, 0.5879108530129835
      12, kinect, -0.9282667021443699, -0.16813733652406948, -0.30816970962256307, -0.12280959175794585, -0.7256615684346407, 0.2111090789970076, 0.9041060950078694
      13, kinect, -0.9281782450102173, -0.169557082181605, -0.3079539795119874, -0.12206509687271255, -0.7216100087572458, 0.21093326527095085, 0.9045895829020949
      14, kinect, -0.9273429818485944, -0.17093489864007477, -0.30965533080145374, -0.12218768575150127, -0.7210147810641386, 0.20874852161098661, 0.9079029573453641
      15, kinect, -0.9227293566769935, -0.06042542535090579, -0.36177053262705866, -0.11849634602112408, -0.09683278029726733, 0.43357840106954065, 0.21038959640241578
      16, kinect, -0.9225125641055897, -0.0674499371897421, -0.3608635836982858, -0.11915766446544912, -0.09579257102810851, 0.42913781444179105, 0.2120922579649695
      17, kinect, -0.9226112194570906, -0.07325456295424644, -0.3585803120078672, -0.12182966214606025, -0.0980265981151193, 0.42519620466989505, 0.2128977113677597
